Price Book ID,Active,Created By ID,Created Date,Deleted,Description,Is Standard Price Book,Last Modified By ID,Last Modified Date,Last Referenced Date,Last Viewed Date,Price Book Name,System Modstamp
"01s5e000002R7b2AAC","false","0055e0000015sL1AAI","05/05/2021T18:14:06.000Z","false","","false","0055e0000015sL1AAI","05/15/2021T20:59:53.000Z","05/15/2021T20:59:53.000Z","05/15/2021T20:59:53.000Z","Standard","05/15/2021T20:59:53.000Z"
"01s5e000002R7b3AAC","true","0055e0000015sL1AAI","05/05/2021T18:14:06.000Z","false","","true","0055e0000015sL1AAI","05/15/2021T00:17:24.000Z","05/17/2021T00:54:07.000Z","05/17/2021T00:54:07.000Z","Standard Price Book","05/15/2021T00:17:24.000Z"
